date,value
2018-04-02,31901
2018-04-03,31877
2018-04-04,30533
2018-04-05,31495
2018-04-06,29137
2018-04-07,32406
2018-04-08,30749
2018-04-09,30248
2018-04-10,32609
2018-04-11,29983
2018-04-12,28929
2018-04-13,28709
2018-04-14,31953
2018-04-15,29123
2018-04-16,33675
2018-04-17,27918
2018-04-18,33583
2018-04-19,31352
2018-04-20,30886
2018-04-21,30208
2018-04-22,31618
2018-04-23,30956
2018-04-24,32660
2018-04-25,31168
2018-04-26,31212
2018-04-27,30431
2018-04-28,30881
2018-04-29,31416
2018-04-30,28376
2018-05-01,28906
2018-05-02,32029
2018-05-03,31156
2018-05-04,30608
2018-05-05,30895
2018-05-06,31372
2018-05-07,30023
2018-05-08,29646
2018-05-09,31088
2018-05-10,29307
2018-05-11,31366
2018-05-12,28179
2018-05-13,32254
2018-05-14,31396
2018-05-15,31048
2018-05-16,32114
2018-05-17,33114
2018-05-18,32112
2018-05-19,27803
2018-05-20,28618
2018-05-21,29573
2018-05-22,30522
2018-05-23,31231
2018-05-24,29337
2018-05-25,30676
2018-05-26,29233
2018-05-27,29419
2018-05-28,28195
2018-05-29,28889
2018-05-30,28214
2018-05-31,28745
2018-06-01,31757
2018-06-02,28719
2018-06-03,34058
2018-06-04,30815
2018-06-05,30318
2018-06-06,28718
2018-06-07,31021
2018-06-08,29071
2018-06-09,30081
2018-06-10,33702
2018-06-11,29681
2018-06-12,31512
2018-06-13,28696
2018-06-14,29661
2018-06-15,32332
2018-06-16,28697
2018-06-17,32318
2018-06-18,30622
2018-06-19,28678
2018-06-20,30431
2018-06-21,30902
2018-06-22,30337
2018-06-23,27009
2018-06-24,28234
2018-06-25,28914
2018-06-26,29134
2018-06-27,30137
2018-06-28,29432
2018-06-29,27123
2018-06-30,29656
2018-07-01,29961
2018-07-02,29845
2018-07-03,30587
2018-07-04,30176
2018-07-05,29574
2018-07-06,28740
2018-07-07,26314
2018-07-08,29410
2018-07-09,29037
2018-07-10,29094
2018-07-11,26732
2018-07-12,26986
2018-07-13,30148
2018-07-14,28470
2018-07-15,29513
2018-07-16,28494
2018-07-17,28458
2018-07-18,29783
2018-07-19,27563
2018-07-20,28444
2018-07-21,27569
2018-07-22,27573
2018-07-23,27724
2018-07-24,28485
2018-07-25,27397
2018-07-26,29963
2018-07-27,26702
2018-07-28,27729
2018-07-29,27315
2018-07-30,30111
2018-07-31,28201
2018-08-01,29421
2018-08-02,25612
2018-08-03,28208
2018-08-04,29110
2018-08-05,27867
2018-08-06,29311
2018-08-07,26906
2018-08-08,29766
2018-08-09,31071
2018-08-10,27049
2018-08-11,26897
2018-08-12,29717
2018-08-13,29879
2018-08-14,26699
2018-08-15,26827
2018-08-16,27009
2018-08-17,25390
2018-08-18,26005
2018-08-19,25853
2018-08-20,26185
2018-08-21,27262
2018-08-22,27644
2018-08-23,29597
2018-08-24,25754
2018-08-25,28708
2018-08-26,26892
2018-08-27,27121
2018-08-28,28190
2018-08-29,25477
2018-08-30,27719
2018-08-31,27380
2018-09-01,27855
2018-09-02,27536
2018-09-03,30773
2018-09-04,26121
2018-09-05,26270
2018-09-06,26122
2018-09-07,26214
2018-09-08,26082
2018-09-09,28814
2018-09-10,29154
2018-09-11,26161
2018-09-12,25763
2018-09-13,27714
2018-09-14,26175
2018-09-15,27950
2018-09-16,27303
2018-09-17,24723
2018-09-18,29318
2018-09-19,29691
2018-09-20,26080
2018-09-21,26419
2018-09-22,27433
2018-09-23,27510
2018-09-24,28001
2018-09-25,30034
2018-09-26,26760
2018-09-27,25836
2018-09-28,24973
2018-09-29,25955
2018-09-30,27012
2018-10-01,29764
2018-10-02,26308
2018-10-03,27433
2018-10-04,27086
2018-10-05,28908
2018-10-06,30932
2018-10-07,26361
2018-10-08,26441
2018-10-09,28760
2018-10-10,28235
2018-10-11,30002
2018-10-12,28129
2018-10-13,26736
2018-10-14,28183
2018-10-15,28984
2018-10-16,28576
2018-10-17,28131
2018-10-18,28996
2018-10-19,29177
2018-10-20,29524
2018-10-21,28453
2018-10-22,27258
2018-10-23,27759
2018-10-24,29380
2018-10-25,26377
2018-10-26,28188
2018-10-27,27078
2018-10-28,27746
2018-10-29,29655
2018-10-30,28060
2018-10-31,27880
2018-11-01,25808
2018-11-02,29005
2018-11-03,28893
2018-11-04,31209
2018-11-05,27543
2018-11-06,28375
2018-11-07,28462
2018-11-08,30496
2018-11-09,28031
2018-11-10,28636
2018-11-11,29174
2018-11-12,28587
2018-11-13,27684
2018-11-14,28691
2018-11-15,30058
2018-11-16,26956
2018-11-17,28744
2018-11-18,27543
2018-11-19,30436
2018-11-20,26409
2018-11-21,27906
2018-11-22,29362
2018-11-23,31196
2018-11-24,28802
2018-11-25,28121
2018-11-26,31829
2018-11-27,26890
2018-11-28,25818
2018-11-29,29831
2018-11-30,28474
2018-12-01,27751
2018-12-02,30402
2018-12-03,29762
2018-12-04,28608
2018-12-05,27591
2018-12-06,30878
2018-12-07,30604
2018-12-08,29538
2018-12-09,32516
2018-12-10,28201
2018-12-11,27577
2018-12-12,28888
2018-12-13,29918
2018-12-14,30412
2018-12-15,29746
2018-12-16,30697
2018-12-17,28353
2018-12-18,32458
2018-12-19,30231
2018-12-20,32092
2018-12-21,30993
2018-12-22,31226
2018-12-23,31458
2018-12-24,31338
2018-12-25,31693
2018-12-26,32786
2018-12-27,31150
2018-12-28,31981
2018-12-29,30846
2018-12-30,33204
2018-12-31,30093
2019-01-01,33885
2019-01-02,31186
2019-01-03,29163
2019-01-04,31564
2019-01-05,30414
2019-01-06,32759
2019-01-07,30582
2019-01-08,30954
2019-01-09,28852
2019-01-10,31070
2019-01-11,28175
2019-01-12,29497
2019-01-13,33076
2019-01-14,33175
2019-01-15,32696
2019-01-16,30669
2019-01-17,32109
2019-01-18,32236
2019-01-19,30564
2019-01-20,34617
2019-01-21,33738
2019-01-22,32150
2019-01-23,32581
2019-01-24,32913
2019-01-25,29596
2019-01-26,32346
2019-01-27,31752
2019-01-28,31330
2019-01-29,32467
2019-01-30,35642
2019-01-31,33963
2019-02-01,32201
2019-02-02,33972
2019-02-03,35267
2019-02-04,34609
2019-02-05,33365
2019-02-06,32359
2019-02-07,34429
2019-02-08,34024
2019-02-09,34828
2019-02-10,34490
2019-02-11,35162
2019-02-12,32834
2019-02-13,35663
2019-02-14,34032
2019-02-15,36896
2019-02-16,32797
2019-02-17,36482
2019-02-18,34221
2019-02-19,32992
2019-02-20,33288
2019-02-21,33578
2019-02-22,34738
2019-02-23,34929
2019-02-24,33326
2019-02-25,34191
2019-02-26,37482
2019-02-27,36900
2019-02-28,35002
2019-03-01,34443
2019-03-02,34604
2019-03-03,35381
2019-03-04,32962
2019-03-05,34146
2019-03-06,32063
2019-03-07,35199
2019-03-08,35604
2019-03-09,33940
2019-03-10,37057
2019-03-11,32888
2019-03-12,32559
2019-03-13,35121
2019-03-14,36383
2019-03-15,37366
2019-03-16,34178
2019-03-17,36509
2019-03-18,34858
2019-03-19,34681
2019-03-20,36288
2019-03-21,35963
2019-03-22,32641
2019-03-23,37240
2019-03-24,37115
2019-03-25,34125
2019-03-26,35675
2019-03-27,35839
2019-03-28,35504
2019-03-29,34303
2019-03-30,34135
2019-03-31,35117
2019-04-01,36927
2019-04-02,35994
2019-04-03,34633
2019-04-04,36356
2019-04-05,30935
2019-04-06,36939
2019-04-07,32613
2019-04-08,34685
2019-04-09,33554
2019-04-10,33296
2019-04-11,36982
2019-04-12,34542
2019-04-13,35765
2019-04-14,35176
2019-04-15,35962
2019-04-16,35360
2019-04-17,33319
2019-04-18,36735
2019-04-19,34496
2019-04-20,32898
2019-04-21,34585
2019-04-22,37472
2019-04-23,36490
2019-04-24,34684
2019-04-25,34674
2019-04-26,34706
2019-04-27,38294
2019-04-28,35741
2019-04-29,35801
2019-04-30,36689
2019-05-01,35488
2019-05-02,34727
2019-05-03,34807
2019-05-04,34978
2019-05-05,35013
2019-05-06,36144
2019-05-07,35112
2019-05-08,36115
2019-05-09,34875
2019-05-10,35094
2019-05-11,31958
2019-05-12,36309
2019-05-13,35432
2019-05-14,36386
2019-05-15,30522
2019-05-16,37975
2019-05-17,34608
2019-05-18,36454
2019-05-19,33206
2019-05-20,35659
2019-05-21,33132
2019-05-22,33749
2019-05-23,37527
2019-05-24,34342
2019-05-25,34924
2019-05-26,35873
2019-05-27,35281
2019-05-28,34732
2019-05-29,35023
2019-05-30,38049
2019-05-31,34325
2019-06-01,34680
2019-06-02,35921
2019-06-03,35969
2019-06-04,36057
2019-06-05,35200
2019-06-06,32493
2019-06-07,36622
2019-06-08,32417
2019-06-09,34554
2019-06-10,32932
2019-06-11,33931
2019-06-12,34483
2019-06-13,34435
2019-06-14,34548
2019-06-15,36298
2019-06-16,34519
2019-06-17,33435
2019-06-18,35208
2019-06-19,35508
2019-06-20,31843
2019-06-21,34541
2019-06-22,34658
2019-06-23,33120
2019-06-24,35591
2019-06-25,33262
2019-06-26,33636
2019-06-27,33148
2019-06-28,33391
2019-06-29,31683
2019-06-30,31127
2019-07-01,35639
2019-07-02,31937
2019-07-03,31680
2019-07-04,29897
2019-07-05,32129
2019-07-06,31063
2019-07-07,35470
2019-07-08,34482
2019-07-09,31895
2019-07-10,36267
2019-07-11,34321
2019-07-12,32322
2019-07-13,29021
2019-07-14,36167
2019-07-15,30608
2019-07-16,30185
2019-07-17,34149
2019-07-18,36237
2019-07-19,34615
2019-07-20,33347
2019-07-21,33356
2019-07-22,33707
2019-07-23,33528
2019-07-24,32775
2019-07-25,32474
2019-07-26,32188
2019-07-27,31115
2019-07-28,31790
2019-07-29,29637
2019-07-30,31995
2019-07-31,30625
2019-08-01,30419
2019-08-02,32312
2019-08-03,34097
2019-08-04,33355
2019-08-05,29590
2019-08-06,30430
2019-08-07,33295
2019-08-08,30380
2019-08-09,31487
2019-08-10,32621
2019-08-11,30315
2019-08-12,31897
2019-08-13,29711
2019-08-14,30783
2019-08-15,32139
2019-08-16,29244
2019-08-17,32270
2019-08-18,31555
2019-08-19,32390
2019-08-20,31874
2019-08-21,33562
2019-08-22,31682
2019-08-23,30829
2019-08-24,31637
2019-08-25,32249
2019-08-26,31488
2019-08-27,31458
2019-08-28,30327
2019-08-29,30369
2019-08-30,29243
2019-08-31,33957
2019-09-01,29452
2019-09-02,30265
2019-09-03,30214
2019-09-04,32622
2019-09-05,30826
2019-09-06,33130
2019-09-07,30239
2019-09-08,31658
2019-09-09,29979
2019-09-10,34443
2019-09-11,29437
2019-09-12,31678
2019-09-13,32159
2019-09-14,31826
2019-09-15,30924
2019-09-16,31005
2019-09-17,31265
2019-09-18,30978
2019-09-19,32645
2019-09-20,34516
2019-09-21,30367
2019-09-22,29151
2019-09-23,31078
2019-09-24,35085
2019-09-25,30015
2019-09-26,33686
2019-09-27,33752
2019-09-28,30413
2019-09-29,32106
2019-09-30,33706
2019-10-01,30706
2019-10-02,30981
2019-10-03,30427
2019-10-04,29791
2019-10-05,30354
2019-10-06,29507
2019-10-07,31411
2019-10-08,30222
2019-10-09,31746
2019-10-10,29080
2019-10-11,31931
2019-10-12,32705
2019-10-13,28486
2019-10-14,32060
2019-10-15,33364
2019-10-16,29733
2019-10-17,34081
2019-10-18,32227
2019-10-19,30568
2019-10-20,31569
2019-10-21,32519
2019-10-22,31825
2019-10-23,32549
2019-10-24,30391
2019-10-25,32058
2019-10-26,29716
2019-10-27,31703
2019-10-28,30548
2019-10-29,30836
2019-10-30,33829
2019-10-31,33649
2019-11-01,32963
2019-11-02,30449
2019-11-03,31652
2019-11-04,33986
2019-11-05,32419
2019-11-06,35727
2019-11-07,32880
2019-11-08,32620
2019-11-09,31912
2019-11-10,32620
2019-11-11,32235
2019-11-12,33572
2019-11-13,33990
2019-11-14,31423
2019-11-15,30653
2019-11-16,29943
2019-11-17,33508
2019-11-18,31140
2019-11-19,29616
2019-11-20,33478
2019-11-21,36686
2019-11-22,32989
2019-11-23,34308
2019-11-24,33225
2019-11-25,33007
2019-11-26,34588
2019-11-27,32828
2019-11-28,33719
2019-11-29,33856
2019-11-30,32427
2019-12-01,34973
2019-12-02,33279
2019-12-03,32465
